group,tensor,layer,left_model,right_model,left_shape,right_shape,shape_match,left_dtype,right_dtype,left_shard,right_shard
router,model.layers.36.mlp.gate.weight,36.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00012-of-00016.safetensors,model-00012-of-00016.safetensors
router,model.layers.37.mlp.gate.weight,37.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00012-of-00016.safetensors,model-00012-of-00016.safetensors
router,model.layers.38.mlp.gate.weight,38.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00013-of-00016.safetensors,model-00013-of-00016.safetensors
router,model.layers.39.mlp.gate.weight,39.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00013-of-00016.safetensors,model-00013-of-00016.safetensors
router,model.layers.4.mlp.gate.weight,4.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00002-of-00016.safetensors,model-00002-of-00016.safetensors
router,model.layers.40.mlp.gate.weight,40.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00013-of-00016.safetensors,model-00013-of-00016.safetensors
router,model.layers.41.mlp.gate.weight,41.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00014-of-00016.safetensors,model-00014-of-00016.safetensors
router,model.layers.42.mlp.gate.weight,42.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00014-of-00016.safetensors,model-00014-of-00016.safetensors
router,model.layers.43.mlp.gate.weight,43.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00014-of-00016.safetensors,model-00014-of-00016.safetensors
router,model.layers.44.mlp.gate.weight,44.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00015-of-00016.safetensors,model-00015-of-00016.safetensors
router,model.layers.45.mlp.gate.weight,45.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00015-of-00016.safetensors,model-00015-of-00016.safetensors
router,model.layers.46.mlp.gate.weight,46.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00015-of-00016.safetensors,model-00015-of-00016.safetensors
router,model.layers.47.mlp.gate.weight,47.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00016-of-00016.safetensors,model-00016-of-00016.safetensors
router,model.layers.5.mlp.gate.weight,5.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00003-of-00016.safetensors,model-00003-of-00016.safetensors
router,model.layers.6.mlp.gate.weight,6.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00003-of-00016.safetensors,model-00003-of-00016.safetensors
router,model.layers.7.mlp.gate.weight,7.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00003-of-00016.safetensors,model-00003-of-00016.safetensors
router,model.layers.8.mlp.gate.weight,8.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00003-of-00016.safetensors,model-00003-of-00016.safetensors
router,model.layers.9.mlp.gate.weight,9.0,qwen3_30b_instruct,qwen3_30b_coder,128x2048,128x2048,True,bfloat16,bfloat16,model-00004-of-00016.safetensors,model-00004-of-00016.safetensors
