layer,router,tensor,safe_lambda_proxy,max_relative_norm_cap,boundary_fragility_score,fragility_rank,source
35,model.layers.35.mlp.gate,model.layers.35.mlp.gate.weight,0.05,0.05,0.5526210796949671,32.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
36,model.layers.36.mlp.gate,model.layers.36.mlp.gate.weight,0.05,0.05,0.4801799651852612,40.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
37,model.layers.37.mlp.gate,model.layers.37.mlp.gate.weight,0.05,0.05,0.4252345873493153,45.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
38,model.layers.38.mlp.gate,model.layers.38.mlp.gate.weight,0.05,0.05,0.455296138106126,42.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
39,model.layers.39.mlp.gate,model.layers.39.mlp.gate.weight,0.05,0.05,0.48896573976011,38.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
40,model.layers.40.mlp.gate,model.layers.40.mlp.gate.weight,0.05,0.05,0.4226538026850252,46.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
41,model.layers.41.mlp.gate,model.layers.41.mlp.gate.weight,0.05,0.05,0.4620447728189117,41.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
42,model.layers.42.mlp.gate,model.layers.42.mlp.gate.weight,0.05,0.05,0.39930129890153,47.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
43,model.layers.43.mlp.gate,model.layers.43.mlp.gate.weight,0.05,0.05,0.3886362700059825,48.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
44,model.layers.44.mlp.gate,model.layers.44.mlp.gate.weight,0.05,0.05,0.4408155230185277,43.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
45,model.layers.45.mlp.gate,model.layers.45.mlp.gate.weight,0.05,0.05,0.4941952072671262,37.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
46,model.layers.46.mlp.gate,model.layers.46.mlp.gate.weight,0.05,0.05,0.5734041716015348,31.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
47,model.layers.47.mlp.gate,model.layers.47.mlp.gate.weight,0.0323834956174453,0.03303116552979421,0.6663898557431377,15.0,results/qwen3_moe_router_margin_fragility/layer_margin_fragility.csv
