tensor,group,layer,expert,packed_expert_count,shape,dtype,numel,bytes,shard
model.layers.10.self_attn.q_proj.weight,attention,10.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.10.self_attn.v_proj.bias,attention,10.0,,,128,bfloat16,128,256,model.safetensors
model.layers.10.self_attn.v_proj.weight,attention,10.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.11.input_layernorm.weight,norm,11.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.11.mlp.down_proj.weight,dense_mlp,11.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.11.mlp.gate_proj.weight,dense_mlp,11.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.11.mlp.up_proj.weight,dense_mlp,11.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.11.post_attention_layernorm.weight,norm,11.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.11.self_attn.k_proj.bias,attention,11.0,,,128,bfloat16,128,256,model.safetensors
model.layers.11.self_attn.k_proj.weight,attention,11.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.11.self_attn.o_proj.weight,attention,11.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.11.self_attn.q_proj.bias,attention,11.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.11.self_attn.q_proj.weight,attention,11.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.11.self_attn.v_proj.bias,attention,11.0,,,128,bfloat16,128,256,model.safetensors
model.layers.11.self_attn.v_proj.weight,attention,11.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.12.input_layernorm.weight,norm,12.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.12.mlp.down_proj.weight,dense_mlp,12.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.12.mlp.gate_proj.weight,dense_mlp,12.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.12.mlp.up_proj.weight,dense_mlp,12.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.12.post_attention_layernorm.weight,norm,12.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.12.self_attn.k_proj.bias,attention,12.0,,,128,bfloat16,128,256,model.safetensors
model.layers.12.self_attn.k_proj.weight,attention,12.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.12.self_attn.o_proj.weight,attention,12.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.12.self_attn.q_proj.bias,attention,12.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.12.self_attn.q_proj.weight,attention,12.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.12.self_attn.v_proj.bias,attention,12.0,,,128,bfloat16,128,256,model.safetensors
model.layers.12.self_attn.v_proj.weight,attention,12.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.13.input_layernorm.weight,norm,13.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.13.mlp.down_proj.weight,dense_mlp,13.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.13.mlp.gate_proj.weight,dense_mlp,13.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.13.mlp.up_proj.weight,dense_mlp,13.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.13.post_attention_layernorm.weight,norm,13.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.13.self_attn.k_proj.bias,attention,13.0,,,128,bfloat16,128,256,model.safetensors
model.layers.13.self_attn.k_proj.weight,attention,13.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.13.self_attn.o_proj.weight,attention,13.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.13.self_attn.q_proj.bias,attention,13.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.13.self_attn.q_proj.weight,attention,13.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.13.self_attn.v_proj.bias,attention,13.0,,,128,bfloat16,128,256,model.safetensors
model.layers.13.self_attn.v_proj.weight,attention,13.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.14.input_layernorm.weight,norm,14.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.14.mlp.down_proj.weight,dense_mlp,14.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.14.mlp.gate_proj.weight,dense_mlp,14.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.14.mlp.up_proj.weight,dense_mlp,14.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.14.post_attention_layernorm.weight,norm,14.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.14.self_attn.k_proj.bias,attention,14.0,,,128,bfloat16,128,256,model.safetensors
model.layers.14.self_attn.k_proj.weight,attention,14.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.14.self_attn.o_proj.weight,attention,14.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.14.self_attn.q_proj.bias,attention,14.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.14.self_attn.q_proj.weight,attention,14.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.14.self_attn.v_proj.bias,attention,14.0,,,128,bfloat16,128,256,model.safetensors
model.layers.14.self_attn.v_proj.weight,attention,14.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.15.input_layernorm.weight,norm,15.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.15.mlp.down_proj.weight,dense_mlp,15.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.15.mlp.gate_proj.weight,dense_mlp,15.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.15.mlp.up_proj.weight,dense_mlp,15.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.15.post_attention_layernorm.weight,norm,15.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.15.self_attn.k_proj.bias,attention,15.0,,,128,bfloat16,128,256,model.safetensors
model.layers.15.self_attn.k_proj.weight,attention,15.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.15.self_attn.o_proj.weight,attention,15.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.15.self_attn.q_proj.bias,attention,15.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.15.self_attn.q_proj.weight,attention,15.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.15.self_attn.v_proj.bias,attention,15.0,,,128,bfloat16,128,256,model.safetensors
model.layers.15.self_attn.v_proj.weight,attention,15.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.16.input_layernorm.weight,norm,16.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.16.mlp.down_proj.weight,dense_mlp,16.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.16.mlp.gate_proj.weight,dense_mlp,16.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.16.mlp.up_proj.weight,dense_mlp,16.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.16.post_attention_layernorm.weight,norm,16.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.16.self_attn.k_proj.bias,attention,16.0,,,128,bfloat16,128,256,model.safetensors
model.layers.16.self_attn.k_proj.weight,attention,16.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.16.self_attn.o_proj.weight,attention,16.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.16.self_attn.q_proj.bias,attention,16.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.16.self_attn.q_proj.weight,attention,16.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.16.self_attn.v_proj.bias,attention,16.0,,,128,bfloat16,128,256,model.safetensors
model.layers.16.self_attn.v_proj.weight,attention,16.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.17.input_layernorm.weight,norm,17.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.17.mlp.down_proj.weight,dense_mlp,17.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.17.mlp.gate_proj.weight,dense_mlp,17.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.17.mlp.up_proj.weight,dense_mlp,17.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.17.post_attention_layernorm.weight,norm,17.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.17.self_attn.k_proj.bias,attention,17.0,,,128,bfloat16,128,256,model.safetensors
model.layers.17.self_attn.k_proj.weight,attention,17.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.17.self_attn.o_proj.weight,attention,17.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.17.self_attn.q_proj.bias,attention,17.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.17.self_attn.q_proj.weight,attention,17.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.17.self_attn.v_proj.bias,attention,17.0,,,128,bfloat16,128,256,model.safetensors
model.layers.17.self_attn.v_proj.weight,attention,17.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.18.input_layernorm.weight,norm,18.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.18.mlp.down_proj.weight,dense_mlp,18.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.18.mlp.gate_proj.weight,dense_mlp,18.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.18.mlp.up_proj.weight,dense_mlp,18.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.18.post_attention_layernorm.weight,norm,18.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.18.self_attn.k_proj.bias,attention,18.0,,,128,bfloat16,128,256,model.safetensors
model.layers.18.self_attn.k_proj.weight,attention,18.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.18.self_attn.o_proj.weight,attention,18.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.18.self_attn.q_proj.bias,attention,18.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.18.self_attn.q_proj.weight,attention,18.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.18.self_attn.v_proj.bias,attention,18.0,,,128,bfloat16,128,256,model.safetensors
model.layers.18.self_attn.v_proj.weight,attention,18.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.19.input_layernorm.weight,norm,19.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.19.mlp.down_proj.weight,dense_mlp,19.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.19.mlp.gate_proj.weight,dense_mlp,19.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.19.mlp.up_proj.weight,dense_mlp,19.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.19.post_attention_layernorm.weight,norm,19.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.19.self_attn.k_proj.bias,attention,19.0,,,128,bfloat16,128,256,model.safetensors
model.layers.19.self_attn.k_proj.weight,attention,19.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.19.self_attn.o_proj.weight,attention,19.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.19.self_attn.q_proj.bias,attention,19.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.19.self_attn.q_proj.weight,attention,19.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.19.self_attn.v_proj.bias,attention,19.0,,,128,bfloat16,128,256,model.safetensors
model.layers.19.self_attn.v_proj.weight,attention,19.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.2.input_layernorm.weight,norm,2.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.2.mlp.down_proj.weight,dense_mlp,2.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.2.mlp.gate_proj.weight,dense_mlp,2.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.2.mlp.up_proj.weight,dense_mlp,2.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.2.post_attention_layernorm.weight,norm,2.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.2.self_attn.k_proj.bias,attention,2.0,,,128,bfloat16,128,256,model.safetensors
model.layers.2.self_attn.k_proj.weight,attention,2.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.2.self_attn.o_proj.weight,attention,2.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.2.self_attn.q_proj.bias,attention,2.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.2.self_attn.q_proj.weight,attention,2.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.2.self_attn.v_proj.bias,attention,2.0,,,128,bfloat16,128,256,model.safetensors
model.layers.2.self_attn.v_proj.weight,attention,2.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.20.input_layernorm.weight,norm,20.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.20.mlp.down_proj.weight,dense_mlp,20.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.20.mlp.gate_proj.weight,dense_mlp,20.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.20.mlp.up_proj.weight,dense_mlp,20.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.20.post_attention_layernorm.weight,norm,20.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.20.self_attn.k_proj.bias,attention,20.0,,,128,bfloat16,128,256,model.safetensors
model.layers.20.self_attn.k_proj.weight,attention,20.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.20.self_attn.o_proj.weight,attention,20.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.20.self_attn.q_proj.bias,attention,20.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.20.self_attn.q_proj.weight,attention,20.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.20.self_attn.v_proj.bias,attention,20.0,,,128,bfloat16,128,256,model.safetensors
model.layers.20.self_attn.v_proj.weight,attention,20.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.21.input_layernorm.weight,norm,21.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.21.mlp.down_proj.weight,dense_mlp,21.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.21.mlp.gate_proj.weight,dense_mlp,21.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.21.mlp.up_proj.weight,dense_mlp,21.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.21.post_attention_layernorm.weight,norm,21.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.21.self_attn.k_proj.bias,attention,21.0,,,128,bfloat16,128,256,model.safetensors
model.layers.21.self_attn.k_proj.weight,attention,21.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.21.self_attn.o_proj.weight,attention,21.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.21.self_attn.q_proj.bias,attention,21.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.21.self_attn.q_proj.weight,attention,21.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.21.self_attn.v_proj.bias,attention,21.0,,,128,bfloat16,128,256,model.safetensors
model.layers.21.self_attn.v_proj.weight,attention,21.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.22.input_layernorm.weight,norm,22.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.22.mlp.down_proj.weight,dense_mlp,22.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.22.mlp.gate_proj.weight,dense_mlp,22.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.22.mlp.up_proj.weight,dense_mlp,22.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.22.post_attention_layernorm.weight,norm,22.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.22.self_attn.k_proj.bias,attention,22.0,,,128,bfloat16,128,256,model.safetensors
model.layers.22.self_attn.k_proj.weight,attention,22.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.22.self_attn.o_proj.weight,attention,22.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.22.self_attn.q_proj.bias,attention,22.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.22.self_attn.q_proj.weight,attention,22.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.22.self_attn.v_proj.bias,attention,22.0,,,128,bfloat16,128,256,model.safetensors
model.layers.22.self_attn.v_proj.weight,attention,22.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.23.input_layernorm.weight,norm,23.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.23.mlp.down_proj.weight,dense_mlp,23.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.23.mlp.gate_proj.weight,dense_mlp,23.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.23.mlp.up_proj.weight,dense_mlp,23.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.23.post_attention_layernorm.weight,norm,23.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.23.self_attn.k_proj.bias,attention,23.0,,,128,bfloat16,128,256,model.safetensors
model.layers.23.self_attn.k_proj.weight,attention,23.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.23.self_attn.o_proj.weight,attention,23.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.23.self_attn.q_proj.bias,attention,23.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.23.self_attn.q_proj.weight,attention,23.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.23.self_attn.v_proj.bias,attention,23.0,,,128,bfloat16,128,256,model.safetensors
model.layers.23.self_attn.v_proj.weight,attention,23.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.3.input_layernorm.weight,norm,3.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.3.mlp.down_proj.weight,dense_mlp,3.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.3.mlp.gate_proj.weight,dense_mlp,3.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.3.mlp.up_proj.weight,dense_mlp,3.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.3.post_attention_layernorm.weight,norm,3.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.3.self_attn.k_proj.bias,attention,3.0,,,128,bfloat16,128,256,model.safetensors
model.layers.3.self_attn.k_proj.weight,attention,3.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.3.self_attn.o_proj.weight,attention,3.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.3.self_attn.q_proj.bias,attention,3.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.3.self_attn.q_proj.weight,attention,3.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.3.self_attn.v_proj.bias,attention,3.0,,,128,bfloat16,128,256,model.safetensors
model.layers.3.self_attn.v_proj.weight,attention,3.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.4.input_layernorm.weight,norm,4.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.4.mlp.down_proj.weight,dense_mlp,4.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.4.mlp.gate_proj.weight,dense_mlp,4.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.4.mlp.up_proj.weight,dense_mlp,4.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.4.post_attention_layernorm.weight,norm,4.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.4.self_attn.k_proj.bias,attention,4.0,,,128,bfloat16,128,256,model.safetensors
model.layers.4.self_attn.k_proj.weight,attention,4.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.4.self_attn.o_proj.weight,attention,4.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.4.self_attn.q_proj.bias,attention,4.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.4.self_attn.q_proj.weight,attention,4.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.4.self_attn.v_proj.bias,attention,4.0,,,128,bfloat16,128,256,model.safetensors
model.layers.4.self_attn.v_proj.weight,attention,4.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.5.input_layernorm.weight,norm,5.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.5.mlp.down_proj.weight,dense_mlp,5.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.5.mlp.gate_proj.weight,dense_mlp,5.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.5.mlp.up_proj.weight,dense_mlp,5.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.5.post_attention_layernorm.weight,norm,5.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.5.self_attn.k_proj.bias,attention,5.0,,,128,bfloat16,128,256,model.safetensors
model.layers.5.self_attn.k_proj.weight,attention,5.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.5.self_attn.o_proj.weight,attention,5.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.5.self_attn.q_proj.bias,attention,5.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.5.self_attn.q_proj.weight,attention,5.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.5.self_attn.v_proj.bias,attention,5.0,,,128,bfloat16,128,256,model.safetensors
model.layers.5.self_attn.v_proj.weight,attention,5.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.6.input_layernorm.weight,norm,6.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.6.mlp.down_proj.weight,dense_mlp,6.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.6.mlp.gate_proj.weight,dense_mlp,6.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.6.mlp.up_proj.weight,dense_mlp,6.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.6.post_attention_layernorm.weight,norm,6.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.6.self_attn.k_proj.bias,attention,6.0,,,128,bfloat16,128,256,model.safetensors
model.layers.6.self_attn.k_proj.weight,attention,6.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.6.self_attn.o_proj.weight,attention,6.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.6.self_attn.q_proj.bias,attention,6.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.6.self_attn.q_proj.weight,attention,6.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.6.self_attn.v_proj.bias,attention,6.0,,,128,bfloat16,128,256,model.safetensors
model.layers.6.self_attn.v_proj.weight,attention,6.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.7.input_layernorm.weight,norm,7.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.7.mlp.down_proj.weight,dense_mlp,7.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
model.layers.7.mlp.gate_proj.weight,dense_mlp,7.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.7.mlp.up_proj.weight,dense_mlp,7.0,,,4864x896,bfloat16,4358144,8716288,model.safetensors
model.layers.7.post_attention_layernorm.weight,norm,7.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.7.self_attn.k_proj.bias,attention,7.0,,,128,bfloat16,128,256,model.safetensors
model.layers.7.self_attn.k_proj.weight,attention,7.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.7.self_attn.o_proj.weight,attention,7.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.7.self_attn.q_proj.bias,attention,7.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.7.self_attn.q_proj.weight,attention,7.0,,,896x896,bfloat16,802816,1605632,model.safetensors
model.layers.7.self_attn.v_proj.bias,attention,7.0,,,128,bfloat16,128,256,model.safetensors
model.layers.7.self_attn.v_proj.weight,attention,7.0,,,128x896,bfloat16,114688,229376,model.safetensors
model.layers.8.input_layernorm.weight,norm,8.0,,,896,bfloat16,896,1792,model.safetensors
model.layers.8.mlp.down_proj.weight,dense_mlp,8.0,,,896x4864,bfloat16,4358144,8716288,model.safetensors
