tensor,group,layer,expert,packed_expert_count,shape,dtype,numel,bytes,shard
model.visual.blocks.0.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.1.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.1.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.1.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.1.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.1.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.1.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.1.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.1.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.1.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.1.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.10.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.10.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.10.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.10.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.10.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.10.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.10.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.10.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.10.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.10.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.11.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.11.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.11.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.11.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.11.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.11.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.11.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.11.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.11.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.11.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.12.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.12.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.12.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.12.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.12.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.12.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.12.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.12.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.12.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.12.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.13.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.13.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.13.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.13.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.13.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.13.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.13.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.13.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.13.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.13.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.13.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.13.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.14.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.14.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.14.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.14.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.14.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.14.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.14.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.14.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.14.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.14.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.14.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.14.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.15.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.15.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.15.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.15.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.15.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.15.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.15.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.15.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.15.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.15.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.15.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.15.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.16.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.16.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.16.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.16.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.16.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.16.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.16.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.16.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.16.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.16.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.16.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.16.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.17.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.17.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.17.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.17.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.17.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.17.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.17.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.17.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.17.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.17.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.17.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.17.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.18.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.18.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.18.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.18.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.18.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.18.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.18.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.18.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.18.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.18.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.18.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.18.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.19.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.19.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.19.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.19.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.19.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.19.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.19.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.19.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.19.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.19.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.19.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.19.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.2.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.2.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.2.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.2.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.2.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.2.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.2.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.2.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.2.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.2.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.2.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.2.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.20.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.20.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.20.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.20.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.20.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.20.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.20.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.20.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.20.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.20.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.20.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.20.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.21.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.21.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.21.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.21.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.21.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.21.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.21.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.21.mlp.linear_fc2.weight,dense_mlp,,,,1152x4304,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.21.norm1.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.21.norm1.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.21.norm2.bias,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.21.norm2.weight,norm,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.22.attn.proj.bias,attention,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
model.visual.blocks.22.attn.proj.weight,attention,,,,1152x1152,bfloat16,1327104,2654208,model-00002-of-00026.safetensors
model.visual.blocks.22.attn.qkv.bias,attention,,,,3456,bfloat16,3456,6912,model-00002-of-00026.safetensors
model.visual.blocks.22.attn.qkv.weight,attention,,,,3456x1152,bfloat16,3981312,7962624,model-00002-of-00026.safetensors
model.visual.blocks.22.mlp.linear_fc1.bias,dense_mlp,,,,4304,bfloat16,4304,8608,model-00002-of-00026.safetensors
model.visual.blocks.22.mlp.linear_fc1.weight,dense_mlp,,,,4304x1152,bfloat16,4958208,9916416,model-00002-of-00026.safetensors
model.visual.blocks.22.mlp.linear_fc2.bias,dense_mlp,,,,1152,bfloat16,1152,2304,model-00002-of-00026.safetensors
