tensor,group,layer,expert,shape,dtype,numel,bytes,shard
model.layers.13.post_attention_layernorm.weight,attention,13.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.13.self_attn.k_norm.weight,attention,13.0,,128,bfloat16,128,256,model.safetensors
model.layers.13.self_attn.k_proj.weight,attention,13.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.13.self_attn.o_proj.weight,attention,13.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.13.self_attn.q_norm.weight,attention,13.0,,128,bfloat16,128,256,model.safetensors
model.layers.13.self_attn.q_proj.weight,attention,13.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.13.self_attn.v_proj.weight,attention,13.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.14.input_layernorm.weight,norm,14.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.14.mlp.down_proj.weight,dense_mlp,14.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.14.mlp.gate_proj.weight,dense_mlp,14.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.14.mlp.up_proj.weight,dense_mlp,14.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.14.post_attention_layernorm.weight,attention,14.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.14.self_attn.k_norm.weight,attention,14.0,,128,bfloat16,128,256,model.safetensors
model.layers.14.self_attn.k_proj.weight,attention,14.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.14.self_attn.o_proj.weight,attention,14.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.14.self_attn.q_norm.weight,attention,14.0,,128,bfloat16,128,256,model.safetensors
model.layers.14.self_attn.q_proj.weight,attention,14.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.14.self_attn.v_proj.weight,attention,14.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.15.input_layernorm.weight,norm,15.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.15.mlp.down_proj.weight,dense_mlp,15.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.15.mlp.gate_proj.weight,dense_mlp,15.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.15.mlp.up_proj.weight,dense_mlp,15.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.15.post_attention_layernorm.weight,attention,15.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.15.self_attn.k_norm.weight,attention,15.0,,128,bfloat16,128,256,model.safetensors
model.layers.15.self_attn.k_proj.weight,attention,15.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.15.self_attn.o_proj.weight,attention,15.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.15.self_attn.q_norm.weight,attention,15.0,,128,bfloat16,128,256,model.safetensors
model.layers.15.self_attn.q_proj.weight,attention,15.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.15.self_attn.v_proj.weight,attention,15.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.16.input_layernorm.weight,norm,16.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.16.mlp.down_proj.weight,dense_mlp,16.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.16.mlp.gate_proj.weight,dense_mlp,16.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.16.mlp.up_proj.weight,dense_mlp,16.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.16.post_attention_layernorm.weight,attention,16.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.16.self_attn.k_norm.weight,attention,16.0,,128,bfloat16,128,256,model.safetensors
model.layers.16.self_attn.k_proj.weight,attention,16.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.16.self_attn.o_proj.weight,attention,16.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.16.self_attn.q_norm.weight,attention,16.0,,128,bfloat16,128,256,model.safetensors
model.layers.16.self_attn.q_proj.weight,attention,16.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.16.self_attn.v_proj.weight,attention,16.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.17.input_layernorm.weight,norm,17.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.17.mlp.down_proj.weight,dense_mlp,17.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.17.mlp.gate_proj.weight,dense_mlp,17.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.17.mlp.up_proj.weight,dense_mlp,17.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.17.post_attention_layernorm.weight,attention,17.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.17.self_attn.k_norm.weight,attention,17.0,,128,bfloat16,128,256,model.safetensors
model.layers.17.self_attn.k_proj.weight,attention,17.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.17.self_attn.o_proj.weight,attention,17.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.17.self_attn.q_norm.weight,attention,17.0,,128,bfloat16,128,256,model.safetensors
model.layers.17.self_attn.q_proj.weight,attention,17.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.17.self_attn.v_proj.weight,attention,17.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.18.input_layernorm.weight,norm,18.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.18.mlp.down_proj.weight,dense_mlp,18.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.18.mlp.gate_proj.weight,dense_mlp,18.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.18.mlp.up_proj.weight,dense_mlp,18.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.18.post_attention_layernorm.weight,attention,18.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.18.self_attn.k_norm.weight,attention,18.0,,128,bfloat16,128,256,model.safetensors
model.layers.18.self_attn.k_proj.weight,attention,18.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.18.self_attn.o_proj.weight,attention,18.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.18.self_attn.q_norm.weight,attention,18.0,,128,bfloat16,128,256,model.safetensors
model.layers.18.self_attn.q_proj.weight,attention,18.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.18.self_attn.v_proj.weight,attention,18.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.19.input_layernorm.weight,norm,19.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.19.mlp.down_proj.weight,dense_mlp,19.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.19.mlp.gate_proj.weight,dense_mlp,19.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.19.mlp.up_proj.weight,dense_mlp,19.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.19.post_attention_layernorm.weight,attention,19.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.19.self_attn.k_norm.weight,attention,19.0,,128,bfloat16,128,256,model.safetensors
model.layers.19.self_attn.k_proj.weight,attention,19.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.19.self_attn.o_proj.weight,attention,19.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.19.self_attn.q_norm.weight,attention,19.0,,128,bfloat16,128,256,model.safetensors
model.layers.19.self_attn.q_proj.weight,attention,19.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.19.self_attn.v_proj.weight,attention,19.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.2.input_layernorm.weight,norm,2.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.2.mlp.down_proj.weight,dense_mlp,2.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.2.mlp.gate_proj.weight,dense_mlp,2.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.2.mlp.up_proj.weight,dense_mlp,2.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.2.post_attention_layernorm.weight,attention,2.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.2.self_attn.k_norm.weight,attention,2.0,,128,bfloat16,128,256,model.safetensors
model.layers.2.self_attn.k_proj.weight,attention,2.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.2.self_attn.o_proj.weight,attention,2.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.2.self_attn.q_norm.weight,attention,2.0,,128,bfloat16,128,256,model.safetensors
model.layers.2.self_attn.q_proj.weight,attention,2.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.2.self_attn.v_proj.weight,attention,2.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.20.input_layernorm.weight,norm,20.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.20.mlp.down_proj.weight,dense_mlp,20.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.20.mlp.gate_proj.weight,dense_mlp,20.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.20.mlp.up_proj.weight,dense_mlp,20.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.20.post_attention_layernorm.weight,attention,20.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.20.self_attn.k_norm.weight,attention,20.0,,128,bfloat16,128,256,model.safetensors
model.layers.20.self_attn.k_proj.weight,attention,20.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.20.self_attn.o_proj.weight,attention,20.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.20.self_attn.q_norm.weight,attention,20.0,,128,bfloat16,128,256,model.safetensors
model.layers.20.self_attn.q_proj.weight,attention,20.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.20.self_attn.v_proj.weight,attention,20.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.21.input_layernorm.weight,norm,21.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.21.mlp.down_proj.weight,dense_mlp,21.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.21.mlp.gate_proj.weight,dense_mlp,21.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.21.mlp.up_proj.weight,dense_mlp,21.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.21.post_attention_layernorm.weight,attention,21.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.21.self_attn.k_norm.weight,attention,21.0,,128,bfloat16,128,256,model.safetensors
model.layers.21.self_attn.k_proj.weight,attention,21.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.21.self_attn.o_proj.weight,attention,21.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.21.self_attn.q_norm.weight,attention,21.0,,128,bfloat16,128,256,model.safetensors
model.layers.21.self_attn.q_proj.weight,attention,21.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.21.self_attn.v_proj.weight,attention,21.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.22.input_layernorm.weight,norm,22.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.22.mlp.down_proj.weight,dense_mlp,22.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.22.mlp.gate_proj.weight,dense_mlp,22.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.22.mlp.up_proj.weight,dense_mlp,22.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.22.post_attention_layernorm.weight,attention,22.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.22.self_attn.k_norm.weight,attention,22.0,,128,bfloat16,128,256,model.safetensors
model.layers.22.self_attn.k_proj.weight,attention,22.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.22.self_attn.o_proj.weight,attention,22.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.22.self_attn.q_norm.weight,attention,22.0,,128,bfloat16,128,256,model.safetensors
model.layers.22.self_attn.q_proj.weight,attention,22.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.22.self_attn.v_proj.weight,attention,22.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.23.input_layernorm.weight,norm,23.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.23.mlp.down_proj.weight,dense_mlp,23.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.23.mlp.gate_proj.weight,dense_mlp,23.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.23.mlp.up_proj.weight,dense_mlp,23.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.23.post_attention_layernorm.weight,attention,23.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.23.self_attn.k_norm.weight,attention,23.0,,128,bfloat16,128,256,model.safetensors
model.layers.23.self_attn.k_proj.weight,attention,23.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.23.self_attn.o_proj.weight,attention,23.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.23.self_attn.q_norm.weight,attention,23.0,,128,bfloat16,128,256,model.safetensors
model.layers.23.self_attn.q_proj.weight,attention,23.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.23.self_attn.v_proj.weight,attention,23.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.24.input_layernorm.weight,norm,24.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.24.mlp.down_proj.weight,dense_mlp,24.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.24.mlp.gate_proj.weight,dense_mlp,24.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.24.mlp.up_proj.weight,dense_mlp,24.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.24.post_attention_layernorm.weight,attention,24.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.24.self_attn.k_norm.weight,attention,24.0,,128,bfloat16,128,256,model.safetensors
model.layers.24.self_attn.k_proj.weight,attention,24.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.24.self_attn.o_proj.weight,attention,24.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.24.self_attn.q_norm.weight,attention,24.0,,128,bfloat16,128,256,model.safetensors
model.layers.24.self_attn.q_proj.weight,attention,24.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.24.self_attn.v_proj.weight,attention,24.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.25.input_layernorm.weight,norm,25.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.25.mlp.down_proj.weight,dense_mlp,25.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.25.mlp.gate_proj.weight,dense_mlp,25.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.25.mlp.up_proj.weight,dense_mlp,25.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.25.post_attention_layernorm.weight,attention,25.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.25.self_attn.k_norm.weight,attention,25.0,,128,bfloat16,128,256,model.safetensors
model.layers.25.self_attn.k_proj.weight,attention,25.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.25.self_attn.o_proj.weight,attention,25.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.25.self_attn.q_norm.weight,attention,25.0,,128,bfloat16,128,256,model.safetensors
model.layers.25.self_attn.q_proj.weight,attention,25.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.25.self_attn.v_proj.weight,attention,25.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.26.input_layernorm.weight,norm,26.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.26.mlp.down_proj.weight,dense_mlp,26.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.26.mlp.gate_proj.weight,dense_mlp,26.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.26.mlp.up_proj.weight,dense_mlp,26.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.26.post_attention_layernorm.weight,attention,26.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.26.self_attn.k_norm.weight,attention,26.0,,128,bfloat16,128,256,model.safetensors
model.layers.26.self_attn.k_proj.weight,attention,26.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.26.self_attn.o_proj.weight,attention,26.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.26.self_attn.q_norm.weight,attention,26.0,,128,bfloat16,128,256,model.safetensors
model.layers.26.self_attn.q_proj.weight,attention,26.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.26.self_attn.v_proj.weight,attention,26.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.27.input_layernorm.weight,norm,27.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.27.mlp.down_proj.weight,dense_mlp,27.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.27.mlp.gate_proj.weight,dense_mlp,27.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.27.mlp.up_proj.weight,dense_mlp,27.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.27.post_attention_layernorm.weight,attention,27.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.27.self_attn.k_norm.weight,attention,27.0,,128,bfloat16,128,256,model.safetensors
model.layers.27.self_attn.k_proj.weight,attention,27.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.27.self_attn.o_proj.weight,attention,27.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.27.self_attn.q_norm.weight,attention,27.0,,128,bfloat16,128,256,model.safetensors
model.layers.27.self_attn.q_proj.weight,attention,27.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.27.self_attn.v_proj.weight,attention,27.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.3.input_layernorm.weight,norm,3.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.3.mlp.down_proj.weight,dense_mlp,3.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.3.mlp.gate_proj.weight,dense_mlp,3.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.3.mlp.up_proj.weight,dense_mlp,3.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.3.post_attention_layernorm.weight,attention,3.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.3.self_attn.k_norm.weight,attention,3.0,,128,bfloat16,128,256,model.safetensors
model.layers.3.self_attn.k_proj.weight,attention,3.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.3.self_attn.o_proj.weight,attention,3.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.3.self_attn.q_norm.weight,attention,3.0,,128,bfloat16,128,256,model.safetensors
model.layers.3.self_attn.q_proj.weight,attention,3.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.3.self_attn.v_proj.weight,attention,3.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.4.input_layernorm.weight,norm,4.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.4.mlp.down_proj.weight,dense_mlp,4.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.4.mlp.gate_proj.weight,dense_mlp,4.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.4.mlp.up_proj.weight,dense_mlp,4.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.4.post_attention_layernorm.weight,attention,4.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.4.self_attn.k_norm.weight,attention,4.0,,128,bfloat16,128,256,model.safetensors
model.layers.4.self_attn.k_proj.weight,attention,4.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.4.self_attn.o_proj.weight,attention,4.0,,1024x2048,bfloat16,2097152,4194304,model.safetensors
model.layers.4.self_attn.q_norm.weight,attention,4.0,,128,bfloat16,128,256,model.safetensors
model.layers.4.self_attn.q_proj.weight,attention,4.0,,2048x1024,bfloat16,2097152,4194304,model.safetensors
model.layers.4.self_attn.v_proj.weight,attention,4.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
model.layers.5.input_layernorm.weight,norm,5.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.5.mlp.down_proj.weight,dense_mlp,5.0,,1024x3072,bfloat16,3145728,6291456,model.safetensors
model.layers.5.mlp.gate_proj.weight,dense_mlp,5.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.5.mlp.up_proj.weight,dense_mlp,5.0,,3072x1024,bfloat16,3145728,6291456,model.safetensors
model.layers.5.post_attention_layernorm.weight,attention,5.0,,1024,bfloat16,1024,2048,model.safetensors
model.layers.5.self_attn.k_norm.weight,attention,5.0,,128,bfloat16,128,256,model.safetensors
model.layers.5.self_attn.k_proj.weight,attention,5.0,,1024x1024,bfloat16,1048576,2097152,model.safetensors
